"","lat","long","data$x_coord","data$y_coord"
"1",1.30106327208749,103.854118049931,"11539.0898","35894.7930"
"2",1.32100429010596,103.885060947615,"11654.2969","35993.1406"
"3",1.3282834951094,103.844619889146,"11666.8136","35782.3574"
"4",1.36909121614356,103.834984850341,"11874.8750","35804.8750"
"5",1.36612042431733,103.846635631616,"11971.8174","36102.7266"
"6",1.37243863344224,103.850295697425,"12175.8100","35939.8984"
"7",1.37483592945335,103.844853841562,"12264.1306","36023.6972"
"8",1.37667820868216,103.863845113107,"12322.8738","36443.2248"
"9",1.38359905765514,103.848368086654,"12357.5880","35978.1413"
"10",1.37034980121361,103.835718285157,"12393.9679","36253.5458"
"11",1.36554001278626,103.844619390219,"12422.5400","35944.9810"
"12",1.36888619793395,103.834531023822,"12440.6748","36204.0469"
"13",1.36469773293712,103.846088586118,"12455.3311","35761.7852"
"14",1.36458829147512,103.847653026353,"12514.7743","36484.9714"
"15",1.37053252446107,103.834376815544,"12551.4555","35465.1802"
"16",1.36858422435364,103.857309934338,"12554.2430","36272.3070"
"17",1.3721783233234,103.853396384416,"12599.8443","36515.2018"
"18",1.36991500171885,103.846698516497,"12613.8496","36926.4932"
"19",1.35629474946784,103.945251948639,"12620.3435","35969.4867"
"20",1.37235819208008,103.85139673959,"12683.1316","35279.6451"
"21",1.37064699017156,103.841861490483,"12722.6845","35766.8461"
"22",1.37163924205586,103.841947812524,"12730.4170","36090.9727"
"23",1.36407414927882,103.850940371229,"12744.1045","36899.5648"
"24",1.30387671852445,103.782631779204,"12771.2097","36650.4919"
"25",1.30284868402082,103.783666774324,"12808.9157","35648.0735"
"26",1.30591323446221,103.781154655174,"12812.9485","36110.9309"
"27",1.30473889283041,103.781674489325,"12813.2745","35771.8721"
"28",1.30734352659319,103.784463330084,"12848.9764","35472.8488"
"29",1.30580772056187,103.785591136571,"12861.1777","35680.0784"
"30",1.30477137726805,103.785192003839,"12891.4529","36020.4242"
"31",1.30728436270956,103.783439640596,"12910.9012","36599.9072"
"32",1.28558255499231,103.803215264159,"12930.5286","36787.2543"
"33",1.28563749200534,103.804741042579,"12947.1123","35275.2364"
"34",1.28491128562143,103.805837442388,"12965.2227","36238.1133"
"35",1.36671439877569,103.841712811912,"12989.0554","35920.2730"
"36",1.36863298161408,103.844524015177,"13002.9190","36619.5998"
"37",1.37798747319494,103.842602544842,"13026.1447","36061.7744"
"38",1.36703553385711,103.838181096851,"13061.8605","36897.8976"
"39",1.36850982748189,103.838675313237,"13110.6908","36127.6675"
"40",1.36800022165129,103.836809611886,"13134.6714","35737.8133"
"41",1.36696761050684,103.84041745597,"13172.2410","35894.5938"
"42",1.36623705577412,103.8430463972,"13182.8539","36856.8882"
"43",1.36494338064154,103.848457091822,"13232.9976","36272.1883"
"44",1.36812755861891,103.846313224171,"13269.4787","35285.1266"
"45",1.36733230062343,103.848859786259,"13270.9893","36409.7045"
"46",1.3647534118811,103.849397652774,"13330.2931","35944.9436"
"47",1.36276930742851,103.851627489277,"13359.4862","35709.3734"
"48",1.372770202219,103.835447564147,"13399.3160","35488.4096"
"49",1.37036305154677,103.838320651541,"13451.5242","36321.3672"
"50",1.37164992828137,103.837464288149,"13477.0963","37120.2881"
"51",1.36736124210143,103.848718255473,"13497.6635","36071.1758"
"52",1.37098974668814,103.842418972199,"13511.8473","36412.4785"
